event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
acb6728c0d8c,SDTTR,SDTTR,SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.8432,0.8907,0.8019,positive,strong,positive; strong; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1641969,79,aksiyon=takip et; guc=guclu; onem=0.80; gecmis=gecmis veri az
68e9c605faf7,REEDR,REEDR,REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8039,0.8526,0.7027,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1642315,76,aksiyon=detay kontrol et; guc=orta; onem=0.70; gecmis=gecmise gore sira disi
7a28981f3e2c,PCILT,PCILT,PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.811,0.8554,0.7771,positive,strong,positive; strong; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1642275,75,aksiyon=takip et; guc=guclu; onem=0.78; gecmis=gecmise gore olagan
9b05c1dd13d9,ENERY,ENERY,ENERYA ENERJİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8619,0.9049,0.745,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1642347,68,aksiyon=detay kontrol et; guc=orta; onem=0.74; gecmis=gecmise gore olagan
deb27ef2530e,AHGAZ,AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8284,0.8764,0.7209,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1642348,66,aksiyon=detay kontrol et; guc=orta; onem=0.72; gecmis=gecmise gore olagan
9d5701045f8d,MERCN,MERCN,MERCAN KİMYA SANAYİ VE TİCARET A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.795,0.8411,0.6955,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1642287,66,aksiyon=detay kontrol et; guc=orta; onem=0.70; gecmis=gecmis veri az
4ffaaade3bd0,GENIL,GENIL,GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,other,stock_specific,1,0.7423,0.8449,0.6672,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1641922,64,aksiyon=detay kontrol et; guc=orta; onem=0.67; gecmis=gecmis veri az
26d66ac75171,GESAN,GESAN,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş. - İhale Süreci / Sonucu,contract_order,stock_specific,1,0.6788,0.7553,0.6844,positive,medium,positive; medium; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1642257,61,aksiyon=detay kontrol et; guc=orta; onem=0.68; gecmis=gecmise gore olagan
71c371be46aa,OTTO,OTTO,OTTO HOLDİNG A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,capital_action,stock_specific,1,0.6295,0.7334,0.6729,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1642023,61,aksiyon=detay kontrol et; guc=orta; onem=0.67; gecmis=gecmis veri az
44a884751cad,ARDYZ,ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.6681,0.7603,0.6795,positive,medium,positive; medium; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1641871,60,aksiyon=detay kontrol et; guc=orta; onem=0.68; gecmis=gecmise gore olagan
