date,ticker,sentiment_score,prob_negative,prob_neutral,prob_positive,news_count,sentiment_3d,sentiment_7d,sentiment_14d
2026-09-24,PETKM,-0.2747779546516791,0.4054931028216765,0.4637917490083261,0.1307151481699974,1,-0.2747779546516791,-0.2747779546516791,-0.2747779546516791
2026-09-24,BORLS,-0.2404150507031619,0.3681826503264132,0.5040497500503356,0.1277675996232512,1,-0.2531306602868698,-0.2531306602868698,-0.2531306602868698
2026-09-24,HATEK,-0.2379990117641323,0.3642390169286153,0.5095209779069018,0.126240005164483,1,-0.2379990117641323,-0.2379990117641323,-0.2379990117641323
2026-09-24,GLRMK,-0.2376459442242665,0.3563627158872736,0.5249205124497194,0.1187167716630071,1,-0.2376459442242665,-0.2376459442242665,-0.2376459442242665
2026-09-24,ULAS,-0.2353666875670077,0.3653258633586135,0.5047149608497807,0.1299591757916057,1,-0.2353666875670077,-0.2353666875670077,-0.2353666875670077
2026-09-24,GUBRF,-0.2248010029635389,0.409763463466485,0.4052740760305688,0.1849624605029461,1,-0.2248010029635389,-0.2248010029635389,-0.2248010029635389
2026-09-24,DOGVY,-0.2219409705570852,0.3496804550615507,0.5225800604339839,0.1277394845044655,1,-0.2219409705570852,-0.2219409705570852,-0.2219409705570852
2026-09-24,MIATK,-0.2054827489182315,0.3885355673749452,0.428411614168341,0.1830528184567137,1,-0.2134397422225184,-0.2134397422225184,-0.2134397422225184
2026-09-24,AVHOL,-0.2042935562631098,0.3278388014952148,0.5486159532726801,0.1235452452321049,1,-0.2042935562631098,-0.2042935562631098,-0.2042935562631098
2026-09-24,KOCMT,-0.2004965930530162,0.3484933080235541,0.5035099770059078,0.1479967149705379,1,0.2992283666894234,0.2992283666894234,0.2992283666894234
