event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
b128e346565d,KBORU,KBORU,KUZEY BORU A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.8755,0.9136,0.8242,positive,strong,positive; strong; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633011,81,aksiyon=takip et; guc=guclu; onem=0.82; gecmis=gecmis veri az
056020f85925,KLYPV,KLYPV,KALYON GÜNEŞ TEKNOLOJİLERİ ÜRETİM A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.8571,0.9009,0.8116,positive,strong,positive; strong; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633009,77,aksiyon=takip et; guc=guclu; onem=0.81; gecmis=gecmise gore olagan
0c051d8399e3,ENERY,ENERY,ENERYA ENERJİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8619,0.9049,0.745,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633765,68,aksiyon=detay kontrol et; guc=orta; onem=0.74; gecmis=gecmise gore olagan
8930238e2432,AHGAZ,AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8284,0.8764,0.7209,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633764,66,aksiyon=detay kontrol et; guc=orta; onem=0.72; gecmis=gecmise gore olagan
e20b3b54aea9,SKYLP,SKYLP,SKYALP FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş. - İhale Süreci / Sonucu,contract_order,market_wide,1,0.6257,0.722,0.7286,positive,medium,positive; medium; contract_order; market_wide; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633034,65,aksiyon=piyasa geneli dikkat; guc=orta; onem=0.73; gecmis=gecmis veri az
f95d2d4021b1,BOSSA,BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.7677,0.8217,0.6766,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633100,63,aksiyon=detay kontrol et; guc=orta; onem=0.68; gecmis=gecmise gore olagan
5b55136eae8f,SEKUR,SEKUR,SEKURO PLASTİK AMBALAJ SANAYİ A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,other,stock_specific,1,0.7044,0.8256,0.6425,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633634,62,aksiyon=detay kontrol et; guc=orta; onem=0.64; gecmis=gecmis veri az
bb26c659deb8,MOGAN,MOGAN,MOGAN ENERJİ YATIRIM HOLDİNG A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,other,stock_specific,1,0.6791,0.8027,0.624,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633607,61,aksiyon=detay kontrol et; guc=orta; onem=0.62; gecmis=gecmis veri az
e8d91e977f36,CEMAS,CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.6576,0.7459,0.6909,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633359,60,aksiyon=detay kontrol et; guc=orta; onem=0.69; gecmis=gecmise gore olagan
028b51c886eb,FORTE,FORTE,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.6394,0.7355,0.6587,positive,medium,positive; medium; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1633134,59,aksiyon=detay kontrol et; guc=orta; onem=0.66; gecmis=gecmise gore olagan
