date,ticker,sentiment_score,news_count,history_days,baseline_mean,baseline_std,baseline_abs_p90,delta_from_mean,anomaly_z,anomaly_level
2026-06-29,CCOLA,-0.2710723934092417,1,6,-0.029658757665516067,0.10500078669151257,0.15038079870774895,-0.24141363574372565,-2.299160257274907,unusual
2026-06-29,SMRTG,0.7976127127993524,1,8,0.3086452247980396,0.27840293522964,0.7358158043948676,0.48896748800131284,1.7563302182787304,elevated
2026-06-29,MAGEN,0.8013268103097442,1,14,0.45849730596539934,0.3823010214807114,0.8167162837909763,0.34282950434434484,0.8967527813985764,normal
2026-06-29,ASTOR,0.5853077932530615,1,5,0.1107981857928311,0.3323047896154715,0.5092880685521517,0.4745096074602304,1.4279349028020694,normal
2026-06-29,GOODY,0.5756388083584068,1,5,0.2604619425192878,0.36951750072675627,0.6983275367282638,0.31517686583911897,0.8529416474706564,normal
2026-06-29,FORTE,0.2122472529096715,4,7,0.3218332973588039,0.3045010839628178,0.637630589882453,-0.10958604444913239,-0.3598872063868048,normal
2026-06-29,TRALT,0.2077686195161314,4,10,-0.0633585811807166,0.3029765344490875,0.5076155234321227,0.27112720069684804,0.894878546253913,normal
2026-06-29,OFSYM,-0.1537070609416913,1,5,0.1405629133919275,0.31340268075078226,0.4858523272419538,-0.2942699743336188,-0.9389516823170451,normal
2026-06-29,TSPOR,-0.1477387618792241,1,7,0.05373574209998337,0.15106083526427078,0.20707091222471327,-0.20147450397920746,-1.3337309013732206,normal
2026-06-29,ATA,0.1281854195178579,2,5,-0.05284321328243112,0.08970844578603837,0.1651692074984514,0.18102863280028902,2.017966437987973,normal
2026-06-29,ATAYM,0.1281854195178579,2,5,-0.05284321328243112,0.08970844578603837,0.1651692074984514,0.18102863280028902,2.017966437987973,normal
2026-06-29,KRVGD,-0.1277426321039217,1,6,-0.013939860100585186,0.12195863802305379,0.1539870751795773,-0.11380277200333651,-0.933125966705404,normal
2026-06-29,EUPWR,0.1123314339231359,1,9,0.22436465790257978,0.33230457192710633,0.7395805696371005,-0.11203322397944389,-0.3371401823626407,normal
2026-06-29,BLS,0.0710605635172599,1,12,0.009234908902669892,0.021707769700812875,0.0243419235047936,0.061825654614590005,,normal
2026-06-29,BLSMD,0.0710605635172599,1,12,0.009234908902669892,0.021707769700812875,0.0243419235047936,0.061825654614590005,,normal
2026-06-29,TSK,0.0537331917785564,2,11,-0.05433789982477672,0.09719580845205605,0.2439446238731046,0.10807109160333311,1.1118904541716068,normal
2026-06-29,TSKB,0.0537331917785564,2,11,-0.05433789982477672,0.09719580845205605,0.2439446238731046,0.10807109160333311,1.1118904541716068,normal
2026-06-29,SVGYO,-0.051286341274425,3,5,0.07289639324317558,0.08925062031893023,0.1758373405203778,-0.12418273451760059,-1.3913935171973386,normal
2026-06-29,AKSEN,-0.046788751478844,2,6,-0.17861652279247095,0.13685305430955177,0.25623783848500103,0.13182777131362694,0.9632797161796769,normal
2026-06-29,VKFYO,-0.0461796088450279,2,20,-0.10545193541021455,0.02939775061377825,0.1191072975391567,0.059272326565186655,,normal
2026-06-29,KLGYO,-0.0380370246744792,1,6,0.1591008363379894,0.26350293541044323,0.45734130827905123,-0.1971378610124686,-0.7481429408192299,normal
2026-06-29,BRISA,0.0346761946006289,1,5,-0.022885770668614018,0.08123219742346272,0.12219275758481142,0.05756196526924292,0.7086102197774229,normal
2026-06-29,ETYAT,-0.0344130827981259,2,19,-0.071684058664422,0.039610364168815464,0.097136834014876,0.037270975866296095,0.9409399950843894,normal
2026-06-29,EUKYO,-0.0344130827981259,2,19,-0.071684058664422,0.039610364168815464,0.097136834014876,0.037270975866296095,0.9409399950843894,normal
2026-06-29,EUYO,-0.0316026632272807,2,19,-0.06640240080502188,0.038135857822719076,0.0906507119107435,0.034799737577741185,0.9125201205519906,normal
2026-06-29,A1CAP,-0.0302670583504653,2,6,0.05445970384909204,0.15151219143519945,0.2331425739971732,-0.08472676219955734,-0.5592075554909672,normal
2026-06-29,ACP,-0.0302670583504653,2,6,0.05445970384909204,0.15151219143519945,0.2331425739971732,-0.08472676219955734,-0.5592075554909672,normal
2026-06-29,ZOREN,0.0286248091979887,1,8,-0.018517772943316014,0.07318850523648945,0.12026459111233812,0.04714258214130471,0.6441254946931328,normal
2026-06-29,KATVK,0.0252172973684523,2,13,0.0047735800558544005,0.04333749024081788,0.0339934258114644,0.0204437173125979,0.4717328391421884,normal
2026-06-29,INFO,0.024288951390112,2,11,0.0021241143043532525,0.07115600128191664,0.1187786192225868,0.022164837085758747,0.3114963838108712,normal
2026-06-29,IYF,0.024288951390112,2,11,0.0021241143043532525,0.07115600128191664,0.1187786192225868,0.022164837085758747,0.3114963838108712,normal
2026-06-29,ZKBVR,0.0233176796737256,2,8,0.01919780356270195,0.0029899297467646134,0.02243713638100091,0.00411987611102365,,normal
2026-06-29,ATAVK,0.022869533011405,1,6,0.021475896932590017,0.0019149346972144557,0.022869533011405,0.0013936360788149825,,normal
2026-06-29,OYAYO,-0.0221374807627691,2,20,-0.06141481524015156,0.019224146158581833,0.0710236592077837,0.039277334477382464,,normal
2026-06-29,EMVAR,0.0205643499754453,2,12,0.019195160781664417,0.002761360252352809,0.01949833396618413,0.0013691891937808835,,normal
2026-06-29,ISATR,0.0187534271351021,1,14,-0.06132738655646299,0.11475063119840197,0.24080912214673073,0.08008081369156508,0.6978681760199354,normal
2026-06-29,ISBTR,0.0187534271351021,1,14,-0.06132738655646299,0.11475063119840197,0.24080912214673073,0.08008081369156508,0.6978681760199354,normal
2026-06-29,ISCTR,0.0187534271351021,1,14,-0.06132738655646299,0.11475063119840197,0.24080912214673073,0.08008081369156508,0.6978681760199354,normal
2026-06-29,ISKUR,0.0187534271351021,1,14,-0.06132738655646299,0.11475063119840197,0.24080912214673073,0.08008081369156508,0.6978681760199354,normal
2026-06-29,TIB,0.0187534271351021,1,14,-0.06132738655646299,0.11475063119840197,0.24080912214673073,0.08008081369156508,0.6978681760199354,normal
2026-06-29,KTSVK,0.0185382304228642,1,14,0.006131080770673114,0.04435132446009909,0.02155963809299085,0.012407149652191087,0.2797469929754465,normal
2026-06-29,DERHL,-0.0166186543220779,5,7,0.293285007150001,0.2479022352899297,0.6163677155906131,-0.3099036614720789,-1.250104345003733,normal
2026-06-29,HALKI,-0.0165768645934962,1,6,0.011443002029680717,0.009554673265945906,0.02251786640895235,-0.028019866623176917,,normal
2026-06-29,HLY,-0.0165768645934962,1,6,0.011443002029680717,0.009554673265945906,0.02251786640895235,-0.028019866623176917,,normal
2026-06-29,VAKVK,0.0162782219163548,2,5,-0.0531701858106472,0.08111570411710803,0.15291162254026638,0.069448407727002,0.8561647646766184,normal
2026-06-29,SMRFA,0.0159366239876092,1,6,0.01713992215409585,0.003668232415387235,0.02160817345861895,-0.0012032981664866493,,normal
2026-06-29,GESAN,-0.0152096375982567,2,6,0.16517304995523793,0.3046043465707372,0.5593055909790547,-0.18038268755349463,-0.5921868469188275,normal
2026-06-29,CRDFA,0.0145864898469366,1,5,-0.0253426683508014,0.10572836749654232,0.16415273624165466,0.039929158197738,0.3776579468991027,normal
2026-06-29,AKM,0.0143149797972827,8,17,0.009092374814411776,0.01337763253812883,0.0180791626446981,0.005222604982870924,,normal
2026-06-29,AKMEN,0.0143149797972827,8,17,0.009092374814411776,0.01337763253812883,0.0180791626446981,0.005222604982870924,,normal
2026-06-29,TAE,0.0134167065401562,1,5,0.02688682236742828,0.015704656652525704,0.04642950669878604,-0.01347011582727208,,normal
2026-06-29,TRBNK,0.0134167065401562,1,5,0.02688682236742828,0.015704656652525704,0.04642950669878604,-0.01347011582727208,,normal
2026-06-29,AEFES,0.0128974421816682,1,8,-0.0034423197780001982,0.04554685878906421,0.06980922682534671,0.016339761959668398,0.3587461878620611,normal
2026-06-29,GRNYO,-0.0121007195060612,2,20,-0.04269609980545032,0.03371621985566453,0.06837323569638264,0.03059538029938912,0.9074380351760848,normal
