event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
36bcc6c860a4,BAGFS,BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş. - Ortaklık Aleyhine Dava Açılması veya Davaya İlişkin Gelişmeler,legal_regulatory,stock_specific,1,-0.9166,0.9424,0.8826,negative,strong,negative; strong; legal_regulatory; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664841,82,aksiyon=takip et; guc=guclu; onem=0.88; gecmis=gecmise gore olagan
88b198113f00,SDTTR,SDTTR,SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.8432,0.8907,0.8019,positive,strong,positive; strong; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664624,77,aksiyon=takip et; guc=guclu; onem=0.80; gecmis=gecmise gore olagan
dda03c960bd2,MCARD,MCARD,METROPAL KURUMSAL HİZMETLER A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.7921,0.8562,0.6969,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664508,75,aksiyon=detay kontrol et; guc=orta; onem=0.70; gecmis=gecmise gore sira disi
893e94ab6966,ENERY,ENERY,ENERYA ENERJİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8619,0.9049,0.745,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664859,68,aksiyon=detay kontrol et; guc=orta; onem=0.74; gecmis=gecmise gore olagan
3fae3e334df8,AHGAZ,AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8284,0.8764,0.7209,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664858,66,aksiyon=detay kontrol et; guc=orta; onem=0.72; gecmis=gecmise gore olagan
dfc866018e53,TEZOL,TEZOL,EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8248,0.8674,0.7171,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664376,66,aksiyon=detay kontrol et; guc=orta; onem=0.72; gecmis=gecmise gore olagan
62d5463b7bde,ENERY,ENERY,ENERYA ENERJİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8125,0.8712,0.7111,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664577,65,aksiyon=detay kontrol et; guc=orta; onem=0.71; gecmis=gecmise gore olagan
743579eb6bf2,AHGAZ,AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.7894,0.8491,0.694,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664575,64,aksiyon=detay kontrol et; guc=orta; onem=0.69; gecmis=gecmise gore olagan
88ced3efd52e,ARDYZ,ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.7021,0.7865,0.7035,positive,medium,positive; medium; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664397,62,aksiyon=detay kontrol et; guc=orta; onem=0.70; gecmis=gecmise gore olagan
f14246c55f37,ONRYT,ONRYT,ONUR YÜKSEK TEKNOLOJİ A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.6576,0.7378,0.6892,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1664737,60,aksiyon=detay kontrol et; guc=orta; onem=0.69; gecmis=gecmise gore olagan
