event_id,tickers,primary_ticker,title,event_type,market_scope,news_count,avg_impact_score,confidence,materiality_score,signal_direction,signal_strength,reason,url,priority_score,priority_reason
5833a36a4a18,TRALT,TRALT,TÜRK ALTIN İŞLETMELERİ A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8554,0.9004,0.7406,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1627075,75,aksiyon=detay kontrol et; guc=orta; onem=0.74; gecmis=gecmise gore dikkat cekici
3618d1cfc7ec,ODINE,ODINE,ODİNE SOLUTİONS TEKNOLOJİ TİCARET VE SANAYİ A.Ş. - Yeni İş İlişkisi,contract_order,stock_specific,1,0.7417,0.8006,0.7281,positive,medium,positive; medium; contract_order; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1625615,66,aksiyon=detay kontrol et; guc=orta; onem=0.73; gecmis=gecmis veri az
595474e53458,AHGAZ,AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.8284,0.8764,0.7209,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1627337,66,aksiyon=detay kontrol et; guc=orta; onem=0.72; gecmis=gecmise gore olagan
4cbe258ba963,SAMAT,SAMAT,SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,other,stock_specific,1,0.7671,0.8636,0.6846,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1626306,65,aksiyon=detay kontrol et; guc=orta; onem=0.68; gecmis=gecmis veri az
2964686b04c6,BOSSA,BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş. - Payların Geri Alınmasına İlişkin Bildirim,other,stock_specific,1,0.7677,0.8217,0.6766,positive,medium,positive; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1625872,65,aksiyon=detay kontrol et; guc=orta; onem=0.68; gecmis=gecmis veri az
320469ce48e8,SAMAT,SAMAT,SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş. - Hak Kullanım Süreç İptal Bildirimi,other,stock_specific,1,-0.7363,0.8049,0.6559,negative,medium,negative; medium; other; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1626242,63,aksiyon=detay kontrol et; guc=orta; onem=0.66; gecmis=gecmis veri az
07df5cb2996d,DURKN,DURKN,DURUKAN ŞEKERLEME SANAYİ VE TİCARET A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,legal_regulatory,stock_specific,1,0.539,0.6153,0.6095,positive,medium,positive; medium; legal_regulatory; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1625916,54,aksiyon=detay kontrol et; guc=orta; onem=0.61; gecmis=gecmise gore olagan
6fc5e19926b7,ISGSY,ISGSY,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,capital_action,stock_specific,1,0.4506,0.5567,0.5392,positive,medium,positive; medium; capital_action; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1626407,49,aksiyon=detay kontrol et; guc=orta; onem=0.54; gecmis=gecmise gore olagan
252f8a6dde37,SMRTG,SMRTG,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş. - Sermaye Artırımı - Azaltımı İşlemlerine İlişkin Bildirim,legal_regulatory,stock_specific,1,0.405,0.5082,0.5144,positive,medium,positive; medium; legal_regulatory; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1626684,47,aksiyon=detay kontrol et; guc=orta; onem=0.51; gecmis=gecmise gore olagan
dcabc2e4565a,TRENJ,TRENJ,TR DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş. - Özel Durum Açıklaması (Genel),legal_regulatory,stock_specific,1,-0.2671,0.4101,0.4189,negative,weak,negative; weak; legal_regulatory; stock_specific; 1 haber,https://www.kap.org.tr/tr/Bildirim/1625587,42,aksiyon=detay kontrol et; guc=zayif; onem=0.42; gecmis=gecmise gore dikkat cekici
