date,ticker,sentiment_score,prob_negative,prob_neutral,prob_positive,news_count,sentiment_3d,sentiment_7d,sentiment_14d
2026-07-01,ALTNY,0.8540199131286029,0.0450107187023627,0.0559586494666715,0.8990306318309657,1,0.6072490331749166,0.491653642943101,0.491653642943101
2026-07-01,MAGEN,0.8184611604467384,0.0425274206967876,0.0964839981596862,0.860988581143526,1,0.8067953765750459,0.8068878697758787,0.8068878697758787
2026-07-01,GEREL,0.7838754697381412,0.0514794044417454,0.1131657213783678,0.8353548741798866,1,0.4939769199732396,0.4939769199732396,0.4939769199732396
2026-07-01,BOSSA,0.7677472263919141,0.0539155192733898,0.1244217350613061,0.821662745665304,1,0.7677472263919141,0.7677472263919141,0.7677472263919141
2026-07-01,TRALT,0.75124406823601,0.1086112217461886,0.0315334882716127,0.8598552899821986,1,0.2242295352069378,0.1242806200928733,0.1242806200928733
2026-07-01,BYDNR,0.6841220038358525,0.0871383434688349,0.1416013092264776,0.7712603473046875,1,0.2596291032750937,0.2596291032750937,0.2596291032750937
2026-07-01,FLAP,0.6053661842911624,0.0855474051449461,0.2235390054189454,0.6909135894361085,1,0.3482068335946414,0.3482068335946414,0.3482068335946414
2026-07-01,OZKGY,0.6050699019770633,0.0813532507033304,0.2322235966162757,0.6864231526803938,1,0.1854849254794312,0.1854849254794312,0.1854849254794312
2026-07-01,DAPGM,0.6031052414706833,0.0979038204058313,0.2010871177176539,0.7010090618765147,1,0.5886807764834533,0.5886807764834533,0.5886807764834533
2026-07-01,MANAS,0.59192225956148,0.0868723569944225,0.2343330264496748,0.6787946165559026,1,0.59192225956148,0.59192225956148,0.59192225956148
