date,ticker,source,title,text,url,language,published_at
2026-01-06,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - Fiyat Tespit Raporuna İlişkin Analist Raporu (Halka Arza Aracılık Eden Kuruluş Dışında Farklı bir Kuruluş Tarafından Hazırlanan),Fiyat Tespit Raporuna İlişkin Analist Raporu (Halka Arza Aracılık Eden Kuruluş Dışında Farklı bir Kuruluş Tarafından Hazırlanan) Z Gayrimenkul Yatırım Ortaklığı A.Ş. Fiyat Tespit Fiyat Tespit Raporuna İlişkin Görüş ZGYO,https://www.kap.org.tr/tr/Bildirim/1533694,tr,2026-01-06T17:03:13+00:00
2026-01-06,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - İzahname-Sermaye Piyasası Aracı Notu (SPK Tarafından Onaylanan),İzahname-Sermaye Piyasası Aracı Notu (SPK Tarafından Onaylanan) İş Yatırım Varant İhracı,https://www.kap.org.tr/tr/Bildirim/1533638,tr,2026-01-06T16:30:27+00:00
2026-01-06,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - İzahname-Sermaye Piyasası Aracı Notu (SPK Tarafından Onaylanan),İzahname-Sermaye Piyasası Aracı Notu (SPK Tarafından Onaylanan) İş Yatırım Varant İhracı,https://www.kap.org.tr/tr/Bildirim/1533637,tr,2026-01-06T16:30:07+00:00
2026-01-06,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - İzahname-Özet (SPK Tarafından Onaylanan),İzahname-Özet (SPK Tarafından Onaylanan) İş Yatırım Varant İhracı,https://www.kap.org.tr/tr/Bildirim/1533636,tr,2026-01-06T16:29:47+00:00
2026-01-06,ISMEN,KAP,İŞ YATIRIM MENKUL DEĞERLER A.Ş. - İzahname-İhraççı Bİlgi Dokümanı (SPK Tarafından Onaylanan),İzahname-İhraççı Bİlgi Dokümanı (SPK Tarafından Onaylanan) İş Yatırım Varant İhracı,https://www.kap.org.tr/tr/Bildirim/1533635,tr,2026-01-06T16:29:26+00:00
2026-01-06,KCHOL,KAP,KOÇ HOLDİNG A.Ş. - Şirket Genel Bilgi Formu,Şirket Genel Bilgi Formu,https://www.kap.org.tr/tr/Bildirim/1533824,tr,2026-01-06T18:15:34+00:00
2026-01-06,KCHOL,KAP,KOÇ HOLDİNG A.Ş. - Yönetim Kurulu Komiteleri,Yönetim Kurulu Komiteleri Denetimden Sorumlu Komite İçin Görevlendirme,https://www.kap.org.tr/tr/Bildirim/1533822,tr,2026-01-06T18:15:16+00:00
2026-01-06,KONTR,KAP,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş. - İhale Süreci / Sonucu,İhale Süreci / Sonucu İhale Süreci,https://www.kap.org.tr/tr/Bildirim/1533768,tr,2026-01-06T17:49:32+00:00
2026-01-06,SAHOL,KAP,HACI ÖMER SABANCI HOLDİNG A.Ş. - Esas Sözleşme Tadili,Esas Sözleşme Tadili Esas Sözleşme Tadili,https://www.kap.org.tr/tr/Bildirim/1533232,tr,2026-01-06T08:33:19+00:00
2026-01-06,SAHOL,KAP,HACI ÖMER SABANCI HOLDİNG A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim Kayıtlı Sermaye Tavanının Artırılması ve Geçerlilik Süresinin Uzatılması,https://www.kap.org.tr/tr/Bildirim/1533230,tr,2026-01-06T08:33:03+00:00
2026-01-06,ULKER,KAP,ÜLKER BİSKÜVİ SANAYİ A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) XS2855391533 ISIN Kodlu Eurobond 3. Kupon Dönemine İlişkin Faiz Ödemesi Hakkında,https://www.kap.org.tr/tr/Bildirim/1534020,tr,2026-01-06T19:11:29+00:00
2026-01-06,ULKER,KAP,ÜLKER BİSKÜVİ SANAYİ A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) US903742AB05 ISIN Kodlu Eurobond 3. Kupon Dönemine İlişkin Faiz Ödemesi Hakkında,https://www.kap.org.tr/tr/Bildirim/1534019,tr,2026-01-06T19:11:16+00:00
2026-01-06,ZOREN,KAP,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş. - Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren),Pay Dışında Sermaye Piyasası Aracı İşlemlerine İlişkin Bildirim (Faiz İçeren) TRSZORN42618 ISIN Kodlu Tahvilin 9. Kupon Dönemine İlişkin Faiz Ödemesi Hakkında,https://www.kap.org.tr/tr/Bildirim/1533277,tr,2026-01-06T10:29:41+00:00
