date,ticker,source,title,text,url,language,published_at
2026-06-03,BTCIM,KAP,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim. Genel Kurul İşlemlerine İlişkin Bildirim 2025 Yılı A Grubu Pay Sahipleri Özel Genel Kurul Toplantı Sonucu,https://www.kap.org.tr/tr/Bildirim/1612798,tr,2026-06-03T21:13:06+00:00
2026-06-03,BTCIM,KAP,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim. Genel Kurul İşlemlerine İlişkin Bildirim 2025 Yılı Olağan Genel Kurul Toplantı Sonucu,https://www.kap.org.tr/tr/Bildirim/1612799,tr,2026-06-03T21:13:25+00:00
2026-06-03,BTCIM,KAP,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim. Kar Payı Dağıtım İşlemlerine İlişkin Bildirim Kar Payı Dağıtım İşlemlerine İlişkin Genel Kurul Toplantı Sonucu,https://www.kap.org.tr/tr/Bildirim/1612805,tr,2026-06-03T22:09:12+00:00
2026-06-03,BTCIM,KAP,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Ayrılma Hakkı Kullanımına İlişkin Bildirim,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Ayrılma Hakkı Kullanımına İlişkin Bildirim. Ayrılma Hakkı Kullanımına İlişkin Bildirim Ayrılma Hakkı Kullanımına İlişkin Genel Kurul Toplantı Sonucu BSOKE,https://www.kap.org.tr/tr/Bildirim/1612806,tr,2026-06-03T22:09:26+00:00
2026-06-03,BTCIM,KAP,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Ayrılma Hakkı Kullanımına İlişkin Bildirim,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş. - Ayrılma Hakkı Kullanımına İlişkin Bildirim. Ayrılma Hakkı Kullanımına İlişkin Bildirim Ayrılma Hakkı Kullanımına İlişkin Genel Kurul Toplantı Sonucu,https://www.kap.org.tr/tr/Bildirim/1612807,tr,2026-06-03T22:09:38+00:00
2026-06-03,BVSAN,KAP,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Genel Kurul İşlemlerine İlişkin Bildirim. Genel Kurul İşlemlerine İlişkin Bildirim Genel Kurul İşlemlerine İlişkin Bildirim,https://www.kap.org.tr/tr/Bildirim/1612473,tr,2026-06-03T14:40:17+00:00
2026-06-03,BVSAN,KAP,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Kar Payı Dağıtım İşlemlerine İlişkin Bildirim. Kar Payı Dağıtım İşlemlerine İlişkin Bildirim 2025 Yılı Kar Payı Dağıtımına İlişkin Genel Kurul Kararı,https://www.kap.org.tr/tr/Bildirim/1612474,tr,2026-06-03T14:45:08+00:00
2026-06-03,BVSAN,KAP,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim. Kayıtlı Sermaye Tavanı İşlemlerine İlişkin Bildirim Kayıtlı Sermaye Sistemi Süre Uzatımı ve Tavan Artırımı Başvurusu Hk.,https://www.kap.org.tr/tr/Bildirim/1612476,tr,2026-06-03T14:49:13+00:00
2026-06-03,BVSAN,KAP,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi. Bağımsız Denetim Kuruluşunun Belirlenmesi Bağımsız Denetim Kuruluşunun Belirlenmesi,https://www.kap.org.tr/tr/Bildirim/1612478,tr,2026-06-03T14:55:07+00:00
2026-06-03,BVSAN,KAP,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş. - Bağımsız Denetim Kuruluşunun Belirlenmesi. Bağımsız Denetim Kuruluşunun Belirlenmesi Sürdürebilirlik Denetim Kuruluşunun Belirlenmesi,https://www.kap.org.tr/tr/Bildirim/1612488,tr,2026-06-03T15:02:49+00:00
